"","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48"
"N099597",26930.1012631616,25745.0541226781,25021.8323004385,24809.9279763655,25152.4108553948,25830.8272335299,26995.8295578563,28235.8228278406,29433.9663377712,30965.8568296768,32337.1486253859,33498.445584774,35212.1770581244,36659.1314306738,37684.4604731299,38415.8714184603,38485.293501486,38008.5000501543,36996.2203206736,36283.5637127605,34682.4170029734,31874.3208878621,29185.3896030856,27257.112198763,25905.5040789647,24836.09016091,24158.8656950391,23923.2602089848,24172.8750192598,24723.9846951758,25710.042816916,26777.7499055653,27824.5059713288,29173.9441768324,30399.0159506877,31453.0878424841,32994.1074887553,34316.1095462974,35280.0154557624,35990.8353946939,36125.3729792814,35776.7749627392,34949.2311260564,34363.3271001566,32993.3547166179,30554.543069155,28187.1503963101,26453.405290818
"N099598",8217.80101299924,7484.85254129017,6967.59771487977,6615.67475685709,6379.80720997678,6296.75407392798,6434.01281125232,6612.86938738005,6984.81348662555,7551.31135626492,8175.82918991409,8840.68446884021,9447.9825445247,9954.64991585972,10374.549747972,10615.1605736528,10747.1296323405,10812.3093031113,10736.9597615979,10508.3593572233,10069.3888460039,9680.84225782857,9298.00666044649,8551.20665259156,7748.67630829832,7068.02881265287,6587.13453197498,6262.73322355661,6049.30414171915,5985.60200253989,6140.19420901553,6334.95135646149,6721.68763196811,7302.05902924229,7939.65014687667,8616.85674887171,9235.84178287926,9753.57676935489,10183.9622893272,10434.5107453502,10575.8987570493,10650.0061330657,10583.1196756595,10362.5422395877,9931.17808319421,9549.84075557703,9173.83846991585,8433.51857533305
"N099599",581.201796111609,533.07616096111,496.653877985391,474.648896474433,461.547468217976,459.963329691612,476.957452208229,510.647880399883,548.275572006798,588.785536719149,630.731458737711,669.948495597347,705.201324055122,715.418725718058,737.413879866932,753.080509857678,767.508936738676,792.990108456543,777.929979293397,765.137769642648,740.351415698557,715.998577571003,696.723369731905,643.847792305922,578.980797438653,531.077392131021,494.840037871262,473.000320764127,460.061917385358,458.611861176711,475.751420448991,509.576319556488,547.31931484274,587.923304010638,629.974430768162,669.281219779636,704.635117821809,714.895154080613,736.987360159442,752.716185505226,767.199466577266,792.77590583958,777.713150351953,764.94855141941,740.127818756756,715.835485448887,696.597086762079,643.690248122291
"N099600",207.878735238182,201.277292801727,188.119733875861,174.777059355374,163.70729209161,157.050125516053,153.124885677684,150.228998295057,149.993556940127,153.424176584257,163.096573453791,174.297469054882,183.228433194143,190.53051976209,197.412475303086,203.121041705605,209.748088488975,214.443721548204,218.307417247767,221.18608755673,223.517839350745,223.119877308179,220.766008281863,214.855781448502,207.878735238461,201.277292801975,188.119733876134,174.777059355649,163.707292091898,157.05012551633,153.124885677944,150.22899829532,149.993556940402,153.424176584523,163.09657345402,174.2974690551,183.22843319435,190.530519762288,197.412475303291,203.121041705795,209.748088489151,214.443721548382,218.307417247928,221.186087556872,223.517839350886,223.119877308297,220.766008281979,214.85578144861
"N099601",13695.4374039081,12589.0329485234,11795.9148749118,11245.3968601512,10878.3487178182,10749.9376675571,11013.7831745642,11473.5074297822,12086.0041690366,12858.5024610192,13767.8224446396,14818.8478360152,15784.037198091,16614.2909694695,17352.0759055405,17862.8897907639,18133.723459474,18160.3258514057,18010.2639456213,17548.4001150658,16865.9280517184,16266.6391655863,15810.4521150774,14663.8380249372,13370.4695387221,12305.1491808991,11536.1758779009,10987.3283523162,10631.3241973769,10511.6233441455,10753.0221914768,11178.3366941158,11766.6665283563,12554.1855954387,13490.805710194,14570.6120749267,15551.8592714691,16366.8258882948,17060.2008112678,17515.8373752533,17774.8154603964,17837.375024262,17694.4852556868,17240.0579483849,16575.848054331,15969.3040866638,15510.4914540701,14376.8330396732
"N099602",1285.12797863012,1176.32758746793,1063.5090400063,987.894148316472,920.059106867859,881.968661657292,855.593389853713,851.908704810943,873.6717412076,886.754711002869,942.534269963641,1025.89799763968,1107.91491169548,1191.7521446989,1269.52359717446,1340.03623589163,1403.32458978521,1455.40896717369,1487.63134936666,1494.53107819292,1467.14546465064,1414.61617049329,1354.92598686662,1332.01840626839,1285.12797864823,1176.32758748483,1063.50904002208,987.894148331199,920.059106881605,881.968661670121,855.593389865688,851.908704822121,873.671741218035,886.754711012614,942.534269972742,1025.89799764818,1107.91491170343,1191.75214470633,1269.52359718141,1340.03623589814,1403.32458979131,1455.40896717941,1487.63134937203,1494.53107819796,1467.14546465537,1414.61617049774,1354.9259868708,1332.01840627232
"N099603",54555.2675383348,49958.9184872594,46083.837418763,43234.0702672291,41177.1219383321,39845.8952332996,39317.2552381841,39914.0780718157,41032.7948178737,41863.1326162308,44616.7350928408,48287.4264427713,52425.1873062761,56503.7441773836,60126.546087646,63258.6947648496,65546.8701069733,66847.4895292441,67348.0698439912,67078.0490166357,65879.0784577943,63390.4655961608,61024.7497254161,58975.877437747,54935.1346209921,50503.8862473306,46685.8585808521,43837.3881833245,41755.500202443,40388.7450013502,39822.301565013,40383.6227928649,41472.2135619357,42277.9763581302,45010.6654774183,48667.885135221,52799.3377641856,56877.4719006048,60503.7414017854,63641.1550089842,65935.0689361136,67240.2985130853,67743.0823712265,67472.513271811,66270.0690957905,63774.5627484917,61397.4075759733,59335.0673685916
"N099604",28582.2903230972,25835.8494194981,24208.195902699,22946.0417146455,22162.7872148693,21825.1829519389,22360.2177223081,23463.036699634,25068.751533053,27293.4638441959,30143.640658254,33066.1939428277,35623.830803154,37536.899332739,39074.7763107429,39464.0632975052,39477.8782960555,39010.9785133477,38141.5502110381,36491.9107947125,35170.2606213821,34242.0606258062,33199.2494038554,31049.8585511209,28222.6040074068,25638.3860575223,23857.5360066547,22629.1821099302,21848.6602140442,21578.304684223,22108.2490063154,23204.1085799172,24414.8509981214,26833.3516586058,29894.8471501439,32870.9931258287,35399.4855454668,37300.1392323117,38526.1712326802,39030.0769527409,38997.9238305967,38609.036921839,37844.5281442395,36599.7171824085,35183.7789489582,34297.205398654,33016.9997732898,30864.1829893215
"N099605",2091.34251590413,1904.66842504152,1778.00618272085,1689.55652037939,1642.21586248073,1632.45524990896,1689.59682486743,1789.80963354226,1885.28636134919,2078.57773641158,2310.84630320368,2541.08592236029,2731.99198888834,2867.50977380639,2957.84504033111,2989.48460844752,2993.02442778098,2959.97266508,2887.47291628826,2777.09051269409,2653.76296638528,2600.14802515558,2504.79284085515,2324.09396467568,2123.39856075123,1939.50292018136,1811.77446196129,1720.56430585499,1669.8670583206,1656.6984382448,1710.6282285434,1807.93226508921,1900.83838973738,2091.86839082812,2322.1691442801,2550.71007230758,2740.16073481473,2874.43831763438,2963.71840237363,2994.46504147572,2997.24653481255,2963.55347251421,2890.5135541784,2779.67772322285,2655.96688453697,2602.01358927945,2506.3768452162,2325.45395773248
"N099606",6170.1494946626,5582.0667889132,5168.76373399291,4889.5797936003,4711.84268348628,4655.88686551182,4781.63583306998,5062.37887372284,5346.1096813998,5935.66724007728,6680.79407027336,7436.46566468282,8062.74611657115,8567.44738561816,8872.62519434687,9001.09891089135,9005.97013170545,8936.31220723729,8757.81199874833,8440.16572566191,8053.42424165842,7776.3777225223,7412.46941528128,6834.25122163003,6176.67518171254,5581.47669053445,5164.21277083549,4883.02470654582,4704.46352899036,4648.33366429259,4774.18868119787,5055.13366933629,5339.14804773949,5928.78317149929,6673.8504869387,7429.41091784853,8055.62193125783,8560.28956974018,8865.52807867203,8994.14475710439,8999.20794839073,8929.76070363151,8751.51898657666,8434.20481500072,8047.82258706803,7771.03802410181,7407.43791177484,6829.66776679371
"N099607",15239.6997976566,13729.3016483707,12744.2402753571,12062.390337325,11622.9694137373,11455.0040590277,11674.4691825923,12190.9921413247,12833.6378179223,14254.2512915807,16036.079474295,17664.6553977307,19033.0682770301,19991.0129795603,20624.0169595606,20908.0348355784,20874.6294238304,20677.853587746,20265.724840605,19595.8130116821,18801.4980564302,18359.9684603744,17665.3763092585,16611.857860423,15239.6997976566,13729.3016483707,12744.2402753571,12062.390337325,11622.9694137373,11455.0040590277,11674.4691825923,12190.9921413247,12833.6378179223,14254.2512915807,16036.079474295,17664.6553977307,19033.0682770301,19991.0129795603,20624.0169595606,20908.0348355784,20874.6294238304,20677.853587746,20265.724840605,19595.8130116821,18801.4980564302,18359.9684603744,17665.3763092585,16611.857860423
"N099608",680.872636890523,672.943725118535,654.855675141135,635.181645046727,621.489288055625,613.605332776095,607.982523609119,606.178096003125,605.446124759022,605.752838336716,615.708556576534,628.414030026866,639.896505895795,653.810490307986,665.237168935564,676.492404806559,692.442325646042,705.739284359625,714.276979214342,720.530402969916,722.904920173441,718.814181636828,705.571435047022,691.293027688887,677.749875538713,670.53268868184,653.104512033021,634.403382099762,620.868769944594,612.620514130139,606.795433876006,604.748693439363,603.513798487882,603.366595708449,613.318880485593,625.893483450965,637.602608664024,651.069075088189,662.552410040739,674.538891054232,688.679277594718,699.508847744289,706.47969469049,711.917291340058,713.936406857282,709.906087562997,697.310601828344,683.389812394624
"N099609",239.336808708701,217.523774037787,201.850400270354,189.950621336273,182.280362496572,180.552407358727,186.124578612056,197.880422452039,207.421695225492,224.031937157761,246.591379413583,270.878726835435,295.344206593675,319.247322690748,335.944946545357,348.615995864553,353.428486270691,354.615880054828,348.539281876591,342.279027760017,329.948476001558,322.28590989058,311.619976367585,286.85017486326,259.866474451089,235.53077446407,217.678877111892,203.875806692993,194.536052695089,191.342172678472,195.627646573788,206.255331988359,214.808405363656,230.551704207812,252.352786239655,275.978101853925,299.865762055983,323.264629247994,339.522320890364,351.807834751739,356.282237728572,357.17162208603,350.832279216389,344.338864181091,331.802155433696,323.95569304664,313.127608619819,288.213563415712
"N099610",379.633642655207,378.608699727513,384.074268415206,424.461113149842,475.968520381993,529.407974195775,585.693833509746,637.138501758461,684.646179597882,729.897829434759,761.44518973755,783.374801064068,786.645458606619,773.409637609025,744.711437764143,700.773830342001,671.928596744716,626.63490820353,565.605539842841,513.503786492054,470.423717727212,435.85093157628,410.539937886291,393.058254608567,383.843383484792,384.754795484721,391.406773051146,432.430260472054,484.185394348222,537.600845134852,593.677566057443,644.793229606737,691.898649815412,736.709101021729,767.801412324783,789.276923661688,792.105187512679,778.443205020005,749.337647680152,705.012434633536,675.798976667839,630.162714611017,568.812705421164,516.408672025364,473.04732934485,438.215874098299,412.669497929619,394.976046789513
"N099611",2672.24169032309,2547.61238391755,2357.9588825979,2197.47569848434,2092.96303456468,2014.24633408192,1954.26471612874,1921.48100057923,1929.43969651132,1978.41772727599,2059.25220274941,2142.93421462149,2207.51665283797,2254.82694898316,2303.71049958673,2339.84717937868,2382.66190577033,2434.36731165935,2483.6997379103,2518.3485403297,2553.32606232184,2569.676214016,2544.43734663447,2480.38256879566,2421.96682134944,2312.51778326137,2141.37990767859,1999.08526158818,1911.04447394034,1847.602609051,1801.67443141864,1781.33535988131,1799.66362954513,1856.92114510848,1944.25079269367,2033.56556243416,2103.63603439622,2156.29208425608,2209.86642092899,2250.5153888514,2297.12883884498,2351.8977761774,2403.940300815,2441.35581901977,2478.74349911347,2497.74507546223,2476.11027986937,2416.54292041657
"N099612",18051.2784329727,16848.3187453101,16202.6702934999,15857.6102913841,15571.487250705,15463.0641093305,15545.3187305512,16043.9456356209,17063.0996288222,18079.0110173228,18963.0815536258,19794.1927066997,20435.0798803482,20881.1838124798,21291.4662887555,21512.2515480229,21660.733771933,21822.6396509646,21858.8718282679,21523.5424312927,20995.7442099025,20726.8188418507,20023.1302788408,18424.875008113,16868.3826405775,15854.8785851486,15333.4563294367,15081.3936290002,14886.360851919,14877.6753391928,15071.1919548535,15616.3799171452,16550.4247664667,17463.0923241264,18249.7905901033,18976.5630132754,19518.053552962,19896.9643939588,20259.3809387716,20462.4408716432,20607.550605943,20756.9753111676,20789.4302052427,20460.3466709642,19951.5220045272,19715.4435591368,19082.0688936414,17593.0803955111
"N099613",1917.35814137641,1748.32703037217,1612.46623987182,1520.98281983253,1459.23673535048,1440.69468685727,1494.92136293807,1558.71640273306,1629.91572406611,1749.85986277766,1909.06252482716,2073.94348915861,2223.16042969731,2350.84144218891,2435.06774069029,2480.34404241808,2489.97287301634,2472.61184521308,2426.70841318963,2351.06393076882,2246.62923399407,2150.33695419411,2100.12423355423,1975.18495833673,1803.93909071114,1651.55090229598,1529.55554747254,1449.80339767412,1398.09639047677,1388.1990118486,1449.91866786031,1520.27665275933,1597.21082639451,1722.16080832678,1885.77810748665,2054.57939025153,2207.26741431655,2337.99786597569,2424.8835773882,2472.44238831736,2484.00622183324,2468.26664388823,2423.71105627135,2349.17099118785,2245.62131170026,2150.01651243103,2100.35211796344,1975.89903972764
"N099614",4377.27947076113,4199.5409869956,3897.91552550005,3558.85452588715,3234.15154982591,3008.76203525427,2850.37484997119,2761.3050988796,2751.47976501113,2844.14145836854,2981.01089897645,3208.57963002682,3452.85333103347,3695.16883601995,3932.96764439447,4140.57825371243,4307.86596736111,4480.44426443345,4632.36814968345,4726.3278309384,4769.12424011101,4707.8025273549,4495.35389578189,4261.2700237159,4203.2373689662,4059.96839902226,3786.25001968752,3476.07269152574,3178.22597249583,2969.17366105051,2823.03253931064,2739.45967918883,2733.53917362357,2820.99401431171,2950.85749272995,3171.61385435293,3417.50001390897,3657.76585356958,3883.64812511408,4083.27664597933,4241.58294439448,4387.18802378817,4518.34801527874,4604.90470186254,4643.72849386975,4583.53628933428,4400.02672322559,4189.59209392952
"N099615",4774.69459695167,4365.11733684168,4060.43175370887,3842.69819801184,3698.66310291155,3634.01903677937,3693.23303599077,3846.513661883,4017.19906152073,4310.31014474024,4667.58444196226,4996.38520850615,5315.80472822988,5592.62292718829,5815.82806959551,5990.14006926682,6084.28037667397,6121.57070411044,6113.50214087034,6013.31215317389,5843.08806437723,5636.55422951337,5506.4939207691,5212.01459044757,4817.99866772761,4441.45353739022,4153.68443735147,3943.24607058188,3800.86012452586,3734.64495189028,3790.56018434194,3939.78112103721,4106.19675409419,4395.06096203306,4748.37821497588,5073.59711596724,5389.73882426141,5663.55640066471,5883.97339615785,6055.6495393015,6147.26959606031,6182.08762010529,6171.57664613228,6068.97333919546,5896.30128158207,5687.2682461304,5554.68347562977,5257.8118596965
"N099616",112897.034882264,106139.125767716,100675.955266463,96683.0984683464,93997.8749069805,93270.7024988557,95077.2073273734,98433.9164131846,103283.455812505,108442.143112873,113775.60536751,119913.48003017,125221.883423546,129520.271358105,132796.42974329,134968.598424114,136186.847180445,136713.848710804,136384.622898996,134400.975650615,130211.664161858,126389.154765148,123214.669370865,116339.657772006,108815.563250142,102257.024195246,97185.4183156528,93580.0592376919,91123.6039899419,90403.7457168897,91915.8246790027,94625.8904469281,98709.9747404793,103570.104293931,108753.780121209,114570.657100115,119534.106916168,123672.579734599,126967.854566282,129228.225378662,130727.494488875,131697.649006572,131546.411584683,129393.911759028,125207.434407986,121561.848229482,118803.966673982,112313.69838389
"N099617",99580.2102173559,91412.4558803083,85275.1023849122,80887.2242763619,78080.4242796532,76688.8640893433,77333.9245111877,80076.7589323191,83783.7595347265,89284.2514632456,95455.7628513224,101685.970879922,107563.289124091,112467.246007432,116374.701513357,119625.404426014,121691.425959091,122604.827662408,122752.31798775,121487.46652175,118635.313111795,114377.536845308,111299.90647997,107028.982107469,98974.504637764,91011.7677190212,84954.4985898524,80600.9720562064,77749.879011302,76276.2033394447,76786.1602103433,79278.3905262625,82796.6928287163,88331.7703925766,94760.8896795152,101100.405608666,106986.712824017,111958.097887325,116028.164129651,119251.664006986,121345.052554833,122457.971783505,122780.17678183,121724.13313913,119155.233345232,115239.199807171,112434.537282128,108330.517376306
"N099618",91956.9659709899,84480.6093267337,78853.7983232451,74765.8048926301,72207.1499672789,70933.3579551091,71564.5868984495,74219.1555449219,77764.4193825752,82880.6511955749,88546.6294225024,94302.9104325911,99696.0678687331,104137.41611589,107643.954648627,110625.225478875,112428.682125484,113163.970974648,113141.908792065,111846.234319161,109062.564671429,104875.594020704,101852.605890792,97759.322052933,90100.9959078126,82604.0827742036,76862.0872265969,72691.9078633367,69940.5240089055,68483.4119979831,68863.114902192,71134.271797103,74406.7284777554,79500.9548702699,85415.2275111503,91303.8243721802,96752.605211228,101290.666731635,105013.332215679,107943.137722971,109823.481099595,110732.477585314,110908.708159093,109812.571728835,107309.045115963,103530.590445343,100806.513616936,96856.3132376065
"N099619",6091.23394895754,5833.66577525364,5440.51582477319,5035.27653476621,4699.77818213109,4432.15268730065,4257.66156165367,4101.93907616419,4062.08313167529,4030.61765324673,4030.22068721522,4285.21120473346,4636.39298427502,5006.436825285,5355.45662934195,5684.91332738351,5966.44533773111,6189.59240306731,6394.50583007666,6537.16641994956,6599.46032772761,6572.7218178575,6437.01416599858,6164.98605055567,6091.23394895754,5833.66577525364,5440.51582477319,5035.27653476621,4699.77818213109,4432.15268730065,4257.66156165367,4101.93907616419,4062.08313167529,4030.61765324673,4030.22068721522,4285.21120473346,4636.39298427502,5006.436825285,5355.45662934195,5684.91332738351,5966.44533773111,6189.59240306731,6394.50583007666,6537.16641994956,6599.46032772761,6572.7218178575,6437.01416599858,6164.98605055567
"N099620",48681.1987924723,46757.7004062277,43728.7249311197,40488.502729721,38070.6362207158,36507.4624987976,35531.6985815575,35156.1930799776,35534.0240853958,36465.3808170504,38209.9081394251,40770.7853603721,43078.8918857186,45066.8516036854,46816.4727300903,48290.8604860822,49693.3332526849,50716.7693753152,51592.2936048078,52217.8744083294,52451.7459741764,52158.8918282475,51168.486353147,49791.194060084,48678.4495516325,46755.1794596958,43726.4818522567,40486.491236997,38068.7502214837,36505.6188518405,35529.8686882319,35154.3906752382,35532.1959299064,36463.4742145095,38207.903802442,40768.6843172904,43076.8663316099,45064.9383005061,46814.6188703084,48289.0789053437,49691.4337519785,50714.7479216102,51590.1219286232,52215.4851471404,52449.2734959831,52156.4160593521,51166.0436525056,49788.7220801007
"N099621",1370.42980206211,1303.45673558679,1206.74693218266,1139.62427785185,1094.65505506264,1068.05024932633,1053.76721556974,1058.3083671306,1078.14644694565,1120.10500013954,1188.29305070606,1249.26039778446,1292.59136646463,1335.40001879442,1365.65398616461,1388.96677753114,1413.27321989117,1430.73324794099,1446.18875800606,1456.45986042576,1449.4962352267,1436.35105824167,1411.48529494837,1380.40530880948,1365.29150567758,1301.14322208573,1206.38855173913,1140.48785877361,1096.23025118126,1069.98098795925,1055.81501070635,1060.2903244747,1079.93931137219,1121.60375419119,1189.407230083,1250.00142238525,1293.00780152028,1335.50345340761,1365.49013075274,1388.56867441724,1412.65421962115,1429.92630251839,1445.21374473873,1455.34365813915,1448.29484798237,1435.09077572606,1410.20477527703,1379.1276043299
"N099622",24242.500349861,22449.2304676724,21151.9680112735,20220.4222224233,19624.7600944998,19405.1269559232,19691.014269877,20560.2455282714,22106.350401924,23569.7334584071,24863.4775296527,26000.4717391723,26851.6233603688,27468.2947351891,28020.0799693743,28398.502948642,28644.3211205938,28806.484226874,28671.3293691916,28048.9469094286,27274.9323799746,26809.6358960372,26369.7779064795,24855.288681709,23046.7607850978,21508.3738741186,20393.6208750953,19592.3780869475,19081.8068869111,18899.3381219015,19168.3573037646,19982.7173074805,21425.6041050646,22769.3779451664,23931.2373959122,24916.5832602458,25645.6259145732,26171.7902547376,26634.2376688628,26964.2339616065,27215.1681366088,27381.3102045326,27258.5042974668,26640.4708282638,25903.9498258257,25489.4390789656,25111.911683458,23727.3110809379
