"","f1","f2","f3","f4","f5","f6","f7","f8"
"N023039",5534.13323214566,5643.39115275685,6143.65005567691,6072.53592695845,5659.99821240687,5761.94784616932,6246.39250452145,6184.59450780333
"N023040",5296.82474297225,5358.54045863124,5341.24948096489,5332.33790417383,5419.43599116863,5481.83577892325,5465.26874562132,5457.0657327345
"N023041",1914.48516180086,1925.91555821829,1937.35103351052,1947.94938873326,1960.55839765807,1972.15872711529,1983.53048860825,1994.21161070962
"N023042",2121.88187819628,2126.08389624407,2131.94377386896,2138.36897903113,2169.47355052499,2174.6386008493,2180.2256284688,2186.65977219983
"N023043",5452.20913773417,5527.70440285658,5461.32187067536,5532.84248799112,5578.27220651543,5651.22719449517,5589.54241877121,5659.37140851187
"N023044",1286.73447678538,1304.89890432159,1295.75028662539,1299.43094418244,1315.47230614304,1334.10355497697,1325.05831738809,1328.71570275917
"N023045",1908.86687193129,1908.75052854702,1908.73544960965,1908.80365835626,1908.9521771431,1909.16956932807,1909.45079610782,1909.78885366968
"N023046",3378.91432670388,3392.40876931914,3405.89252847552,3419.38629627606,3432.88487499632,3446.39093232936,3459.90350899604,3473.42315369664
"N023047",9866.41187322175,9915.23800735764,9964.53119678567,10013.5957683554,10062.5864393483,10111.5208272165,10160.3514914401,10209.0799255696
"N023048",1403.35729048525,1412.35873419907,1421.35947346037,1430.36087562644,1439.36315532332,1448.3664391041,1457.37062820017,1466.3758330223
"N023049",8984.63856128289,9030.72812954623,9085.37001647263,9137.68307365709,9190.5979876207,9244.72202931815,9298.34323256012,9351.21270241568
"N023050",9362.08332288437,9427.44918451308,9487.50781334845,9525.38551497351,9576.22806655851,9640.08006704791,9700.02697877877,9742.35110550526
"N023051",1478.55873393155,1489.57736771539,1498.0992555909,1505.10159359989,1516.47548895862,1525.60675221637,1534.65030106092,1544.35022141453
"N023052",5844.93224841823,5867.32849564349,5889.98920463037,5912.72702561832,5934.27427156163,5956.77174194994,5979.43457454752,6002.19038580124
"N023053",2710.75147830159,2668.78887307353,2683.74280909484,2698.11224665645,2712.59758957961,2726.99118986496,2741.48939675463,2755.8987310008
"N023054",1660.40237121356,1667.19974126585,1674.00081224123,1680.77281770347,1687.52700162894,1694.25941166407,1700.97247198799,1707.66570834102
"N023055",6868.28947061356,6882.71013907926,6896.83003149055,6910.67383304425,6924.21734237314,6937.4757732387,6950.46638364533,6963.18616120149
"N023056",3032.60079711359,3045.68093581269,3058.95207692388,3072.10936413854,3085.24337863463,3098.24961500502,3111.22862763617,3124.1540132318
"N023057",1472.67088232587,1474.39118229177,1475.88384477963,1487.41619043164,1494.98474530596,1503.17278045872,1510.27877911318,1517.8170599673
"N023058",7433.47566546709,7456.08424989602,7470.83502491995,7492.30340240748,7513.49409357488,7534.38637556046,7555.13097193721,7575.67197331226
"N023059",9756.39563315309,9777.34846032371,9812.01664587588,9846.55221519312,9880.60357362505,9914.27528922104,9947.69777181271,9980.75737062293
"N023060",1426.0633116295,1433.75193518969,1440.29816158031,1448.3086145734,1456.23141348179,1464.20679860376,1472.17047062661,1480.15039374177
"N023061",2793.11162681978,2801.65400406235,2804.35373891414,2805.45858013684,2806.93268155811,2807.43982258385,2807.48306686451,2806.8387932449
"N023062",2095.7147668876,2098.54518127693,2098.55196229656,2098.5483224245,2098.55512773864,2098.5514662874,2098.55829599811,2098.55461286783
"N023063",2924.60498649935,2993.383760521,3037.6874315101,3065.95671304305,3084.24716540555,3095.86634128679,3103.32073771286,3108.20412564462
"N023064",3203.45226154127,3252.95793323418,3303.22865816642,3354.27625935625,3406.11274253303,3458.7502989609,3512.20130830596,3566.47834154782
"N023065",4672.10515915703,4646.23226798002,4645.28229268692,4644.61995539765,4644.14252497666,4643.78396833511,4643.50189923724,4643.26905196323
"N023066",6291.60119063923,6375.77338958943,6437.32181307077,6482.18479866777,6514.81079758697,6538.49832187608,6555.67563182722,6568.12119151191
"N023067",10745.0379808712,10866.8145030016,10935.223105293,10946.2769962034,10954.1571812799,10959.8233055226,10963.952610829,10967.0126034488
"N023068",3215.41987167573,3216.01036893631,3210.96549818676,3264.75169772571,3283.60355569186,3298.53186470417,3308.50624636047,3337.09973739585
"N023069",1092.05853927876,1092.00763118001,1092.00732911325,1091.95673416003,1091.95619345385,1091.9059085621,1091.90513215038,1091.85515426909
"N023070",10727.7757254298,10772.5677544567,10813.5206066863,10852.8785482132,10899.4348503713,10942.8713626936,10985.0266004318,11033.127568298
"N023071",4940.28095737845,4940.34867955481,4940.28217640014,4940.34927137832,4940.28339251171,4940.34986613966,4940.28460574049,4940.35046381163
"N023072",3902.51409884753,3925.6636926313,3957.84254568692,3990.57789750402,4023.53672807529,4056.05703709265,4088.37883582257,4121.19104272833
"N023073",5200.34300840986,5229.57620340992,5263.47141553052,5294.79725721699,5311.55189305709,5349.17328106536,5373.42202298725,5393.73189209833
"N023074",3047.81470174323,3095.18444507885,3135.04334945457,3155.83948869177,3176.65707967092,3197.50591174945,3218.00595286495,3238.64588026565
"N023075",1612.19822801098,1621.48985215336,1627.90518247544,1634.28147322284,1640.65488130533,1646.9869559021,1653.32225142855,1659.624537859
"N023076",13601.9940969677,13687.5778920966,13771.2480583131,13820.5918116652,13858.3352143904,13925.0848050973,13955.8684417538,13977.1445276005
"N023077",17808.3505494477,18047.3010988953,18286.251648343,18525.2021977906,18764.1527472383,19003.1032966859,19242.0538461336,19481.0043955812
"N023078",17363.7586972156,17597.7173944312,17831.6760916468,18065.6347888623,18299.5934860779,18533.5521832935,18767.5108805091,19001.4695777247
"N023079",1672.51669035506,1677.7675405019,1667.49417044293,1662.3842547076,1660.28681835844,1659.04857117304,1658.60470921099,1658.27920370039
"N023080",6807.5171832015,6787.72212928686,6791.54731585699,6802.62357677038,6801.92455417947,6798.93488666224,6799.74178946091,6803.38923832227
"N023081",4522.34938773271,4526.03522345509,4533.45687073092,4540.8930772636,4548.31359209016,4555.74808561285,4563.16957237643,4570.60454563965
"N023082",2213.7867914222,2218.08040416109,2215.62000894313,2221.93452365511,2224.91856014413,2224.67782696329,2226.82662357225,2228.30250628152
"N023083",3440.6732536315,3413.84932739587,3455.83951411959,3473.75913320202,3490.57542255104,3480.186910434,3532.62636121407,3549.50423022813
"N023084",12371.8971933474,12431.9922248169,12479.4117242203,12516.7946008591,12546.2437067625,12569.4295530372,12587.6760081097,12602.0302618068
"N023085",33630.5350837358,34174.7360634049,34727.7431683864,35289.6988972167,35860.7480543078,36441.0377872612,37030.7176247841,37629.9395152203
"N023086",1113.23332773686,1107.79687730083,1107.87685363998,1107.40296915559,1116.46017458323,1125.51020885213,1133.22957398478,1147.50651420716
"N023087",2370.55224232815,2378.31884725616,2385.76538793967,2392.96616732475,2399.99190542434,2406.81529146882,2413.47020913681,2419.94869765119
"N023088",3804.04040965962,3748.05934478492,3616.84097479067,3578.28842837561,3678.49363595803,3598.4588456481,3540.86616700132,3641.9561085795
"N023089",8577.8416515384,8439.06771441514,8314.7944812955,8139.49081407207,8179.69379774324,8019.62369855947,8028.31874103685,8125.61848692775
"N023090",8667.80208403702,8185.00460758333,8096.70057397743,8537.51390099516,8526.07833045712,8050.6255874411,7963.22345662011,8396.18735700698
"N023091",1089.88008036412,1089.36377322415,1098.19635593959,1102.68702750632,1105.1994213866,1122.826013978,1129.95255430015,1136.65437299353
"N023092",7291.96616314115,7357.85408425239,7392.48927777597,7434.01461278324,7504.34753444226,7564.12853521825,7609.83491291359,7658.42608558028
"N023093",1576.81077353072,1588.7926981216,1600.8326172338,1612.09372558318,1623.35466560595,1634.61601793678,1645.87717553792,1657.13875861525
"N023094",4017.06994239707,4040.94038336073,4064.81082432438,4088.68126528804,4112.5517062517,4136.42214721535,4160.29258817901,4184.16302914267
"N023095",5962.67710357772,5998.84149520364,6035.00588682956,6071.17027845548,6107.3346700814,6143.49906170732,6179.66345333325,6215.82784495917
"N023096",9013.0745461844,9044.47398480857,9075.87342343273,9107.2728620569,9138.67230068107,9170.07173930523,9201.4711779294,9232.87061655357
"N023097",21225.5645637854,21349.8434260358,21466.3064248983,21575.4031603609,21677.562953329,21773.1949704339,21862.6884861713,21946.4132573868
"N023098",2416.81767862167,2388.33070715654,2397.90858719816,2392.79955729641,2387.33370525817,2337.30226880784,2373.83836147797,2358.85930551415
"N023099",1522.15277418916,1513.70794872352,1508.39072760426,1504.81575190604,1502.02770127341,1499.90885068818,1498.22342734767,1496.93400787884
"N023100",6820.78695355375,6718.12234017777,6783.00506749158,6822.89325887883,6764.80258811859,6667.74017856041,6736.46247195342,6779.9845588529
"N023101",4299.49153360224,4320.82688577545,4342.16668475797,4363.50303144765,4384.84400678315,4406.1813534826,4427.52351873492,4448.86187084025
"N023102",2266.20074525045,2275.37921723965,2283.21873076871,2289.3612933675,2294.76980346301,2299.53251336619,2303.7244465188,2307.41394119915
"N023103",2294.43886257862,2301.7381932097,2308.18713950609,2313.67776401521,2318.35496592885,2322.59188577574,2326.31875268763,2329.72114247951
"N023104",6109.94673619447,6137.65144447156,6159.93539600487,6177.84470761044,6192.22883922455,6203.77566337028,6213.04098563461,6220.47312031969
"N023105",1827.52661082002,1838.97667739733,1847.81588755953,1858.55733094631,1869.91279444075,1881.98306957253,1893.36605129532,1905.38676974251
"N023106",3697.40311374234,3731.924890316,3766.76568229838,3801.5237681256,3836.32215952755,3871.0278064414,3905.95447249796,3940.84736828371
"N023107",6258.68561290998,6257.37061405068,6256.05710465041,6254.74366701848,6253.4307814392,6252.11797599345,6250.80584301707,6249.49345386599
"N023108",2328.18345620868,2334.63684329254,2339.83776955896,2344.04432810282,2347.48196229229,2350.31524541378,2352.68233915573,2354.68294484904
"N023109",3116.64790769649,3133.69581539479,3150.7437230931,3167.7916307914,3184.8395384897,3201.887446188,3218.9353538863,3235.9832615846
"N023110",2341.00799284904,2353.05056812079,2353.03313844992,2360.6103492384,2356.62353670885,2355.66825932273,2352.97091967139,2366.02761946335
"N023111",5673.07177984373,5717.39581459925,5762.53005275802,5788.15961095349,5811.64372219649,5833.41719584327,5853.84734336112,5873.23900780705
"N023112",3908.01313913692,3909.01987675926,3909.97058633238,3910.88779434626,3911.7571084145,3912.6000892911,3913.39752114768,3914.17396106357
"N023113",3413.84435217016,3430.04077939799,3446.11990701363,3462.32069628931,3478.39848557422,3494.60378756852,3510.68011335353,3526.89008546076
"N023114",3275.13075746512,3280.14317508841,3285.31409686192,3290.3482467417,3295.54288283318,3300.5961036024,3305.81202379458,3310.88195456997
"N023115",1423.07181580112,1478.53903561374,1458.21417280742,1494.57618181992,1478.27044164956,1535.32991065621,1513.74306008366,1550.93122102447
"N023116",2427.76176146987,2436.75485213588,2443.83918890222,2446.74989799574,2449.24900283114,2451.21681182666,2452.9223397074,2454.2300099772
"N023117",1526.61407267473,1429.47348068987,1550.26718825507,1665.88873479912,1578.40518812028,1513.86057924279,1562.06568969737,1621.58951566253
"N023118",4055.99733056545,4060.45570258279,4061.96819512444,4062.88208580223,4063.20408303378,4063.67798424389,4064.28381411437,4064.60740913856
"N023119",3246.83398588861,3248.2005639728,3271.58186063321,3287.81519281059,3312.14268143203,3341.56815291003,3364.31637956563,3386.74475448343
"N023120",1476.39066919905,1497.56222311628,1505.45103033421,1527.38602091135,1547.43322835686,1555.95290541733,1581.91511355881,1604.97080923339
"N023121",1691.89641731203,1698.03023535113,1703.93908101112,1710.0737245285,1715.98579066289,1722.12128789034,1728.0365775729,1734.17295672883
"N023122",3311.9960384521,3315.86800802038,3286.97682552292,3284.31195550979,3284.18332603871,3288.23752606974,3280.4810784259,3296.43535842958
"N023123",1773.4382273714,1786.9213585719,1800.44108620614,1813.90918888129,1827.43475811334,1840.91852105877,1854.43419353252,1867.92017961049
"N023124",10377.9597429114,10415.52790281,10451.7620732436,10489.3327859727,10525.5894430486,10563.1629532873,10599.4420470075,10637.0185979823
"N023125",1432.4267086506,1433.57608853009,1434.3276187049,1436.00552185714,1437.06581023659,1438.685290596,1439.8572668487,1441.41749260456
"N023126",5942.14112615994,5896.35758445383,5840.00006922039,5837.40359526086,5810.96236282057,5747.6196672578,5699.97687137956,5661.5402991868
"N023127",1218.08830142438,1225.98203750224,1233.6117975191,1241.14593596524,1248.52770459028,1255.79362426033,1262.94228468878,1269.98037776985
"N023128",1077.09399708201,1082.41866503848,1087.82108064423,1092.76318004019,1097.94272148017,1103.01708674362,1108.26060079837,1113.38811070992
"N023129",1132.07637092339,1137.69345753246,1143.38129721137,1148.57544408046,1154.0287175185,1159.36864592066,1164.88098209941,1170.27918486787
"N023130",7913.97260803766,7914.76684446246,7915.46679215119,7916.25559469915,7916.97366201242,7917.76011988319,7918.49374303605,7919.28022002243
"N023131",3341.90417982232,3370.97524614122,3399.93712193261,3429.0100930213,3458.00499422783,3487.08462523683,3516.10924005691,3545.19916214168
"N023132",3315.24276322504,3316.04021344484,3315.74199666572,3316.5646933391,3316.24495275351,3317.0939004352,3316.75164537858,3317.62789087505
"N023133",9999.47254968361,10042.5594960944,10084.7955985601,10127.8867409082,10170.1562893467,10213.25230815,10255.5549955924,10298.656556228
"N023134",1116.15017994994,1107.22672039059,1107.92237396146,1107.82998970621,1106.73092036673,1106.06551029768,1103.34851521067,1105.10584716847
"N023135",2799.33496995308,2815.99050404848,2814.36749848263,2822.62834203411,2855.40672261025,2832.89841655823,2824.61109904384,2848.03208316044
"N023136",1056.1774298834,1058.65587766011,1060.63934920657,1060.65570340532,1060.67297601779,1060.68960349182,1060.70671950679,1060.72350209525
"N023137",10502.6123094836,10571.724745369,10640.434068737,10709.4061143495,10778.0097984084,10846.9435872079,10915.5018891058,10984.436350165
"N023138",6352.40934891237,6424.52959147624,6491.39736022472,6553.33966435292,6610.6721763233,6663.69797588343,6712.70668093447,6757.97390217739
"N023139",9408.93161231942,9484.84955344071,9508.06840683853,9521.93439569991,9547.92883704637,9537.56483633889,9553.25475414517,9580.36799077907
"N023140",7616.03288084205,7700.661611359,7781.03595765306,7857.32040729406,7929.67906303669,7998.2747516188,8063.26826168656,8124.81769902517
"N023141",12069.7004150809,12089.4008301618,12109.1012452427,12128.8016603235,12148.5020754044,12168.2024904853,12187.9029055662,12207.6033206471
"N023142",5946.66854061365,5995.7796388878,6041.11007652317,6082.9231444503,6121.46834227229,6156.98130206051,6189.68389266527,6219.78446688098
"N023143",18006.6141102105,18306.1287101319,18610.6253125007,18920.1867858929,19234.8973772862,19554.8427349879,19880.1099319439,20210.7874894356
"N023144",12270.7378136336,12329.0123553509,12356.1263296335,12368.7184863501,12374.561442726,12377.2715816176,12378.5283925463,12379.1111811091
"N023145",11716.594315264,11831.0484129786,11946.3522988808,12062.5096770429,12179.5242465902,12297.399701534,12416.1397306057,12535.74801709
"N023146",10505.4107753545,10711.3291881609,10565.2789837877,10694.8321789724,10881.7713203785,11091.6604626997,10937.1235904189,11067.95340856
"N023147",19282.7161552928,19547.4388275993,19815.7957438315,20087.8367965843,20363.6125636291,20643.1743168545,20926.5740322689,21213.8643992039
"N023148",4187.00071164382,4087.08636101242,4302.50487056097,4202.5530985866,4417.41038445018,4318.16527415805,4533.06636319978,4435.01632938518
"N023149",5795.35150224808,5954.63595540832,6118.30084032927,6286.46099888724,6459.25007765133,6636.77923550772,6819.19348494849,7006.6261610961
"N023150",5972.61137194789,5668.45321938605,6100.00117707368,6135.38539658038,6083.52288564968,5790.07977272231,6223.14196303622,6258.50234862564
"N023151",4470.81366594345,4137.23484822915,4289.59408584455,4222.60804347817,4469.17141517513,4140.13233447562,4292.49903849979,4225.52056486373
"N023152",6109.16436024447,6079.48251215291,6052.91489496807,6026.37048435824,5999.80257465274,5973.25866779207,5946.69045268503,5920.14706405345
"N023153",1901.75512164954,1911.34401484329,1918.61404456731,1924.09360467938,1928.31982963456,1931.5036687294,1933.99527250497,1935.87395336381
"N023154",2334.95030478918,2333.58140835249,2339.98231501114,2336.43815624609,2337.68229448763,2336.49966774372,2342.50120056115,2339.29208433898
"N023155",7607.3037815108,7808.38106156084,7883.58781166101,7693.70819690411,7742.95235959015,7927.5156426051,8005.69627325508,7830.99492606668
"N023156",990.419958823119,989.609589432568,1134.67194734637,1167.63831640402,993.596394898112,992.692199513355,1137.67171441157,1170.6026471093
"N023157",2620.3784027724,2653.08321665375,2686.19621770793,2719.7225004991,2753.66722317518,2788.03560826428,2822.83294347641,2858.06458251705
"N023158",1195.95725702546,1212.70197057202,1232.90847436296,1252.83336254555,1273.55054039259,1291.95718170619,1312.58000477022,1333.50640419923
"N023159",7335.45995458501,6392.51915455065,6743.24490893042,6282.55848535649,7369.91613647958,6406.95378735789,6771.6149300618,6365.29196056721
"N023160",1420.32313295281,1352.15272711944,1405.89457061916,1360.83893769657,1367.10983207906,1353.6538112712,1365.56960332659,1352.44860265789
"N023161",1213.30999475582,1220.17385471457,1227.18864631981,1234.04362904433,1240.90810591745,1247.66377670793,1254.48481300415,1261.22501801465
"N023162",1222.50146139947,1230.42243241426,1238.25247910543,1245.76238587701,1253.3904367606,1260.81682946632,1268.45540623976,1275.95813916223
"N023163",1186.22207191543,1185.2066645803,1192.79378716208,1196.78890462901,1213.0207635486,1209.45645752952,1224.35558885487,1229.22811789444
"N023164",1222.2493371836,1226.76487292833,1231.81363936016,1236.43429320376,1240.84870548317,1245.25409802775,1249.41511964804,1253.60915375555
"N023165",1228.8597131228,1234.87893715839,1240.96514840156,1246.96589178502,1252.87814405149,1258.87741144739,1264.76177919604,1270.73065069668
"N023166",1230.46191004176,1236.87352474669,1243.38535060901,1249.82007400708,1256.34642411147,1262.80723140899,1269.34970158278,1275.83596600636
"N023167",1204.68314003161,1209.55588853139,1214.41320457373,1219.20178439761,1223.93844747563,1228.6404783424,1233.31196078382,1237.93145203586
"N023168",1235.80667228282,1243.19194857817,1250.62464116671,1258.03716355499,1265.39820897502,1272.79601139013,1280.20990759309,1287.6212097153
"N023169",1240.56747280897,1251.92181041661,1256.52846001305,1268.18284449612,1272.65816643047,1284.65129496683,1289.00730649281,1301.33243504458
"N023170",1237.72471525122,1240.01014382662,1242.118915707,1256.03043216289,1258.5232428238,1260.57627211208,1262.45524288893,1276.13952058188
"N023171",1262.78313751364,1277.46978696984,1292.59713145174,1307.66840913819,1323.18015882879,1338.58772894204,1354.47040727376,1370.24677986548
"N023172",1204.56572463219,1207.98069799939,1211.50856157376,1215.0980042361,1218.49211719992,1221.69574309423,1224.80750393388,1227.91126424264
"N023173",1191.52996074284,1195.3131770646,1198.82529518006,1202.49257713967,1205.89920010659,1209.4575966777,1212.76505746773,1216.22054764533
"N023174",1193.41169221489,1198.03283542905,1202.58971637844,1207.14105381491,1211.63009182504,1216.11288130036,1220.53580537853,1224.95186477344
"N023175",1222.82098414438,1228.10949068699,1234.92486791166,1240.95059400444,1246.89094699525,1252.97896651617,1259.52948473467,1265.84104393241
"N023176",1234.29508957436,1240.71290187613,1247.14714123616,1253.5443388121,1259.94783451553,1266.38525296515,1272.83853869469,1279.25621886538
"N023177",1222.67483692549,1228.06245570219,1235.30656840409,1242.024300449,1247.75850458157,1254.38402335041,1260.95459522484,1266.98041417302
"N023178",1190.12257974872,1198.42704302439,1202.55160602946,1211.02627337291,1215.097423475,1223.7493706145,1227.75544350136,1236.59657587951
"N023179",1205.41719567409,1216.58464248473,1225.11127132952,1229.5827565818,1231.68667715278,1242.58454754245,1251.10288963109,1255.91736464194
"N023180",1287.97715890058,1299.62731817264,1311.66324395674,1316.96901020245,1322.30458250902,1333.85822112155,1346.33663844258,1351.53580460857
"N023181",1218.90397046135,1229.07989578674,1241.03959796921,1245.11987328893,1250.29575642056,1260.98681765991,1273.25687454433,1278.73030369669
"N023182",1221.76900051508,1226.75034350418,1231.73571110605,1236.71987904409,1241.70602785477,1246.69035501897,1251.6760714076,1256.66212385616
"N023183",1227.55525155861,1228.18315473225,1229.49752699614,1243.05489624287,1246.14140351725,1246.76943068852,1248.08390855113,1261.64122359249
"N023184",1225.37089198501,1229.51796345507,1233.54853244484,1237.46587176727,1241.27316236741,1244.97349579671,1248.56987675884,1252.06522556934
"N023185",1174.38688589357,1177.15035819564,1179.76642784274,1182.24294617934,1184.58731744521,1186.80663250949,1188.9075616483,1190.89638746413
"N023186",1221.29247785722,1226.55378563561,1231.78793514531,1236.9888793682,1242.15251203614,1247.2870560894,1252.38657935331,1257.45744053943
"N023187",1234.72006588068,1240.55968156526,1246.28995680285,1252.12188570063,1257.78362370812,1263.54047698617,1269.15835020899,1274.87059959031
"N023188",1210.25380260792,1216.24644721465,1222.67203809371,1228.69749535985,1235.13960522735,1241.14203700923,1247.61485028249,1253.63319050821
"N023189",1231.58977400863,1235.36043609446,1237.40785436717,1242.63532732584,1238.05993062682,1236.32764045737,1237.20235651483,1240.6219875213
"N023190",1263.09277079671,1270.28656357662,1272.83891437667,1286.46760676901,1290.22888089245,1297.42267328438,1299.97502275132,1313.60371684664
"N023191",1234.36400469932,1239.22484276699,1240.26004587886,1251.98149577118,1256.34855546173,1261.20975166798,1262.24559198513,1273.96687645083
"N023192",1229.28075309723,1234.05648612872,1234.52774418684,1246.92915294659,1251.21184535689,1255.98736199366,1256.45873109407,1268.85919351491
"N023193",1251.8671421891,1256.7949617173,1261.64290891041,1266.41301042423,1271.0996520133,1275.70412001754,1280.23252206349,1284.6861413757
"N023194",1195.02045040957,1199.93424936409,1202.98700252173,1213.48897595974,1218.58351484853,1224.2684120363,1228.08008927344,1238.76736944478
"N023195",1188.16321554706,1191.43818986781,1192.23473905038,1201.17962959374,1205.40019830802,1208.689983898,1209.51201664077,1218.42697643405
"N023196",1184.84204820819,1188.53478435897,1190.71292470737,1200.54588490999,1204.86629905179,1208.66071801445,1211.0341223006,1220.59405791139
"N023197",1355.80200445237,1365.96852677491,1369.70279554279,1384.44579076268,1387.52477813647,1397.06527222126,1399.8378196683,1413.87530663729
"N023198",1715.78164909077,1715.87657040803,1715.83826445318,1715.96656087644,1715.96438734317,1716.02882761473,1716.04714867032,1716.12312877162
"N023199",1700.78265892754,1720.6078028474,1744.23373035125,1767.13593163519,1791.35953810928,1814.37991645872,1837.5128308727,1859.36871337615
"N023200",1620.4489799196,1638.35580281889,1654.21986713857,1668.2564284917,1680.66227145981,1691.61615203702,1701.27961442207,1709.79839933044
"N023201",1665.89705227035,1671.66509347577,1676.61817306895,1681.64722296176,1687.06673093478,1692.13266824765,1697.32867756205,1702.1245182658
"N023202",2407.34149828784,2430.99603086566,2453.50730805988,2474.91892469136,2495.27414904055,2514.61574094943,2532.98579652633,2550.42561701983
