"","f1","f2","f3","f4","f5","f6"
"N000046",6862.55340577223,7773.13521981782,8936.36189513564,10399.57847653,12241.6298017847,14556.5618307733
"N000047",6873.67448898886,7782.85194550799,8944.72525673213,10414.3738468094,12253.9078213867,14562.660143491
"N000048",7286.69465242716,7565.50676989945,7459.78875166543,7610.65611372561,7733.48115744499,7838.83301892354
"N000049",2681.42921097776,2811.51101340762,2909.07737294832,2956.10419253377,3000.40379536907,3043.99485177182
"N000050",19106.8858973709,19522.0486048505,20006.8572712018,20422.5695897356,20819.4646086175,21174.9839320934
"N000051",8296.5504222986,8446.51852188357,8587.95025110821,8758.08881401084,8914.02924958745,9058.79900932876
"N000052",19519.4057593253,22865.0948584931,27056.1223758044,32285.8616489626,38829.2059056134,47026.4349837598
"N000053",27564.0171097206,41375.6167407983,63118.5683606578,97651.5435915692,153284.42519003,243304.691876629
"N000054",9732.02506677875,11270.8917743997,13091.8708813157,15257.2847273243,17829.2685587472,20896.2252847147
"N000055",3007.37590704135,3499.54494670578,4079.75142194425,4764.56841218162,5577.59791263142,6541.69490739263
"N000056",13964.9121371807,17461.6363039491,21999.4945130982,27898.1894736255,35605.3931482028,45632.8533562614
"N000057",2208.59540108468,2393.38969645235,2585.67779611783,2774.56522138796,2966.78304141287,3160.83517194216
"N000058",10828.6290763464,11288.7391325042,11695.7943352298,12071.2310295286,12438.0322389618,12778.2671656239
"N000059",10179.6827677459,10374.3834506856,10591.8443439571,10825.0018791153,11039.9285270232,11239.7071408791
"N000060",10123.9752138697,10294.6940742352,10528.2639824522,10829.4956069965,11148.0878352584,11474.4139353623
"N000061",11453.1184183619,12111.4877107849,12644.5338657556,13118.9634985176,13535.4786301831,13932.6272479831
"N000062",13899.6916617689,15914.3054770245,17676.4416815895,19310.9583923664,20859.2747696552,22365.2892082419
"N000063",12406.8524462225,13996.7438216307,15548.463015401,17142.4789503891,18775.6907343538,20512.0384539545
"N000064",14166.0655043391,14749.9633042189,15256.7783082478,15728.7293470392,16172.7802582687,16602.5975932108
"N000065",12091.7924224284,13002.5283146343,13719.0032070381,14361.1990300217,14927.5432162911,15479.8284619384
"N000066",10838.3378681522,11387.2167846203,12052.7228587257,12785.9138491026,13429.9172014932,14021.3186490589
"N000067",9989.42649042596,9979.10456673549,9994.76656809943,10031.4649946863,10104.643261084,10205.5627263643
"N000068",10124.2183065063,10459.193464445,10719.4933386623,10942.1044837163,11148.637510405,11339.9846579581
"N000069",10349.0902844449,10702.2706234254,11231.1614538997,11681.2338577093,12093.4348747108,12493.1583024412
"N000070",10682.6681790748,11062.7713803342,11432.2000017629,11807.2981827234,12212.0449442048,12646.95448871
"N000071",10123.8591151386,10520.8707002463,11131.2444004117,11885.8965478871,12680.3346748977,13583.3761107354
"N000072",10911.2282957684,11756.6365632725,12692.8053595705,13737.7745643411,14889.2510718235,16184.8696908713
"N000073",11590.7076670844,12328.827849773,13080.8092959503,13629.5198763303,14114.1571750617,14541.8623173491
"N000074",11086.4902539675,11615.4296706931,12059.9740871043,12458.5208965233,12809.5283917006,13161.0023443861
"N000075",10486.8537036238,10968.032915429,11320.662320391,11611.9545231628,11870.1877982389,12114.910033008
"N000076",10645.9307778535,11044.8737703066,11371.0880393663,11675.4984526127,11958.7992964777,12232.8564226021
"N000077",10912.3893713401,11680.1186735166,12504.1525199346,13405.957950525,14399.017836958,15495.5604358618
"N000078",10716.9575412531,11509.5182330077,12288.6932916816,13092.4878878244,13904.207946212,14758.5940907739
"N000079",4967.68547529332,4785.0313875097,4476.09829144371,4019.75994761101,3388.16824778885,2503.31980957826
"N000080",4998.86694350973,5624.09108535143,6192.69297657444,6695.10857943701,7201.59869065198,7654.94615782047
"N000081",4639.1291094557,4928.94004004518,5222.17183956257,5523.90865058532,5832.12287974523,6152.31612414439
"N000082",13129.7213054116,14241.0129418896,15147.3997546749,15968.0762693254,16731.1523276327,17447.6478963382
"N000083",9506.15095383248,9716.99217533068,10005.7185426072,10362.1203754334,10794.1085419023,11299.1848343074
"N000084",3814.10295046264,3857.14298175307,3892.25297968323,3923.20332546368,3951.10910556286,3977.97938285309
"N000085",1599.22680669315,1642.34671172351,1660.14163434697,1677.25263523018,1694.69207936747,1711.70481833221
"N000086",3195.52123540201,3235.78447158266,3273.60011142144,3311.74351837184,3345.56628075477,3385.82606832489
"N000087",12110.7551241985,13059.7913513427,13840.2222035007,14538.5095979217,15183.0032989705,15783.9109258117
"N000088",12575.7095317867,13551.9206524209,14315.9895627067,14950.0196223633,15528.0974945464,16093.9054417058
"N000089",866.529695338565,1079.43878580099,1366.81490954228,1704.35967396079,2088.29522602927,2493.22090894648
"N000090",8789.56339963619,10374.8337463905,11178.3868813588,12576.8693155837,13246.8408071652,14388.9738667957
"N000091",8505.77080168347,8992.29120114094,9454.08933920525,9893.20351307207,10314.7872995865,10714.6877717923
"N000092",3180.1350656596,3876.72898620773,4485.99381957206,5022.91733149821,5549.72781882014,6066.17400104067
"N000093",8271.98953810415,8371.58131996404,8686.51104707984,8832.23838453053,8837.39661534059,8846.23499648151
"N000094",7032.47842250906,7068.8472034297,7101.63618302645,7132.71458401131,7160.61176846174,7186.65450129733
"N000095",6599.88681164765,6697.82129513668,6762.94754548246,6817.52333913273,6864.93394278108,6903.95897855634
"N000096",7676.88099378795,7731.82175530896,7894.32295973079,7929.06247033829,7960.56026744908,7989.41903484498
"N000097",6576.75349612354,6667.41889211252,6732.19904267424,6784.75502186534,6831.28049372211,6871.65663919942
"N000098",9312.56149496147,9455.27075935136,9573.95087431284,9676.50919197111,9767.3405436758,9849.19770854994
"N000099",8535.68720407007,8693.18858162751,8817.57319192514,8925.49344833052,9013.30834819938,9099.04944634923
"N000100",9052.05888075189,9346.24040811195,9566.93461009399,9759.51419081416,9926.99790598752,10074.7491649086
"N000101",1958.97458095853,2111.50078876213,2228.58148944406,2330.44703302521,2419.40366689085,2499.54123338815
"N000102",9433.92774557359,9639.45957284412,9797.94289144402,9934.70813516284,10054.4430024833,10159.1293841482
"N000103",4409.69616547267,4747.01349566266,5002.62382930343,5218.93601498241,5404.82486649324,5577.66312518068
"N000104",1979.24853059481,2055.05758083444,2113.6383611433,2165.95868116292,2212.053808441,2253.72698893266
"N000105",2329.17077998327,2301.41225116897,2275.72089368323,2254.84325603636,2237.08393817213,2222.94729396927
"N000106",2461.32815273634,2476.70222875714,2454.5000311216,2451.44500756526,2459.47804352316,2459.4514499459
"N000107",3454.23141292958,3697.34855326036,4046.42643177805,4162.70016474036,4166.62221272444,4171.23778284183
"N000108",1933.00642317973,2208.40091076808,2384.17834701218,2575.02696526377,2708.42458494156,2857.06636283421
"N000109",3443.61083196286,3577.50049932838,3790.55600865901,3961.38387273797,4126.09742623582,4272.10992752696
"N000110",2241.00250719526,2341.78668958399,2389.58770960441,2428.93453209842,2471.42085059646,2500.38817556832
"N000111",3009.64254784536,3154.45511511861,3267.1531794619,3364.62661659851,3445.80357676419,3528.7041667162
"N000112",1432.05984172467,1473.32193841423,1507.39736811681,1540.05664241269,1569.9199152317,1595.89581422898
"N000113",1926.15049907096,1926.2003270949,1925.88839606589,1925.97632304681,1926.06416868954,1926.15193321939
"N000114",2264.07032825438,2269.44103192955,2275.35762134763,2280.72114824824,2289.1668217737,2294.38673865956
"N000115",1808.52368663573,1832.64374784551,1855.57891216436,1873.87286029587,1892.69581389372,1909.53839783771
"N000116",2590.7762451379,2715.0150172462,2821.65129784405,2907.96146012798,2989.92515605933,3070.32732330555
"N000117",2668.26497866327,2859.97383127015,3024.80284006538,3172.40468039066,3307.53796722203,3437.3229117602
"N000118",2542.78310413898,2601.12070741198,2693.87175308197,2703.58721823226,2711.58821898161,2724.12105221951
"N000119",2764.66182228178,2870.18150771269,2951.93173825857,3021.27279433581,3084.04007830768,3138.09477526135
"N000120",2460.61346126784,2692.97770847177,2897.2651565434,3083.77305546863,3257.41583747075,3421.90562694294
"N000121",4831.04262037659,5256.28430255845,5621.60681481849,5966.62327903974,6267.07551405839,6581.16475815311
"N000122",3034.50653339233,3259.02575798535,3466.30875137989,3656.23759153066,3823.56825879812,3985.24349589533
"N000123",2408.77623627057,2288.32766234455,2288.69184752559,2288.90207914695,2287.63337435916,2289.34758019542
"N000124",3665.68626958549,3721.02018578859,3778.63368795111,3826.03800672788,3880.0809063112,3926.26012295132
"N000125",8390.32581721945,8486.67727646328,8565.32437497388,8635.24873774794,8700.69611654482,8756.84426802434
"N000126",5434.48591823831,5806.87934200571,6032.05681505539,6071.49349265248,6109.0777613085,6128.90016273601
"N000127",7875.16587417541,7874.92934879194,7874.58135310308,7874.44144071256,7874.50850696035,7874.7813203992
"N000128",9747.9655600951,9621.30147415646,9597.99727074098,9554.76470740094,9558.65741365202,9559.95618862343
"N000129",3817.76618124831,3791.64844711276,3751.3685610224,3700.45390561657,3643.86235586902,3584.96438454512
"N000130",6994.55770755823,7041.18158415205,7079.10990254504,7111.83191037753,7140.32134465393,7163.88460549541
"N000131",8703.45385461527,8831.8828886005,8957.80929047829,8999.88086779761,9036.69176453075,9076.82403440822
"N000132",7532.33962189482,7651.93101848132,7741.72159996117,7818.72189311941,7885.64616314323,7946.86458001756
"N000133",5572.57044020413,6110.41613543494,6567.35416696285,6968.61295340309,7361.34718264086,7752.55053552505
"N000134",11189.4319159701,11822.1212093986,12453.737401208,13108.024414508,13773.3538216998,14469.5854699153
"N000135",9746.33781321091,10544.2386017826,11246.2445389957,11891.4792633019,12513.4881554123,13110.6393180117
"N000136",4038.85865440375,4417.63948291312,4829.17380065585,5277.24993190453,5757.66499484439,6282.73410806981
"N000137",3490.79027139412,3704.33594083884,3934.94817629781,4185.87430110497,4459.20133536559,4759.25903016827
"N000138",14109.7844893346,15328.919975893,16324.3126160597,17220.9154399738,18061.9938203796,18857.060673832
"N000139",11379.9075584089,12046.9522325638,12575.6669981058,13008.9353562249,13382.4858278297,13731.0473160601
"N000140",6511.19394863478,6748.80003280043,6952.39867300415,7132.70814213667,7307.86241330116,7470.78859429372
"N000141",5078.41191587869,5770.1707869149,6516.40041442494,7347.88100852693,8288.86608216969,9363.4639584854
"N000142",5407.35867887967,5704.16072843866,6082.38207860689,6544.63863144209,7085.56766462666,7720.48176023886
"N000143",4926.57993502065,5427.96140862609,5980.62051643049,6599.80298612378,7298.05297947889,8081.33657464905
"N000144",5890.97437510942,6456.49503682189,7003.30417978158,7548.42262655087,8106.82643351092,8683.89071946587
"N000145",13922.2685266871,14908.4444395131,15840.8129102007,16778.3837785704,17725.4554043939,18705.7548284955
"N000146",9839.14524906206,10642.0738072923,11318.859803984,11942.0527179627,12511.9243441366,13073.9646322852
"N000147",2313.6645660447,2455.5239260707,2602.70698186455,2760.65661821123,2930.93551823979,3107.86896888155
"N000148",7446.69446136318,8155.54301441403,8988.24464490795,9969.54676365676,11123.2767133497,12472.9766403969
"N000149",3163.14032598515,3430.08118864034,3692.57587485436,3958.96252161217,4233.34302764172,4518.35686399347
"N000150",9323.93518808497,9713.0288487312,10065.8801108073,10393.4219094009,10710.1441167505,11012.415358604
"N000151",2215.3083973883,2387.63292450309,2547.19481567216,2698.98449656623,2848.47637549462,2995.15975789056
"N000152",9313.21859208029,10694.1295923796,12196.5126286911,13921.0963702466,15907.4593643957,18207.3447251712
"N000153",11477.8373455072,13516.0273396816,15967.5535252334,18988.019297606,22615.2339598282,27014.267400649
"N000154",3686.36018678797,3925.71076980556,4140.21338100233,4344.67878385925,4545.92099570472,4744.2136487074
"N000155",13453.580681842,14213.5269713703,14842.2964269918,15371.2286605881,15879.4040928643,16362.4839529648
"N000156",3511.0977930568,3763.24908403955,4036.21904111001,4333.91414091806,4666.68791965297,5032.09828124592
"N000157",3740.81061346408,4088.14673184231,4464.43525801248,4872.20467681588,5311.06623707778,5785.54310599059
"N000158",3482.87526392587,3690.7234134277,3916.65814325735,4164.43155768294,4433.38175157837,4728.79228707145
"N000159",6461.27058106043,7712.95864610247,9232.78264338917,11112.48165239,13480.3657796846,16459.8391053047
"N000160",3274.51022018185,3588.17173243302,3963.47839033487,4406.95576172933,4930.69908969927,5547.15978770235
"N000161",9982.12586267994,10517.1678418706,11080.4715402028,11691.3984710709,12368.7795705962,13103.6424769252
"N000162",13985.1936453754,15746.3945385993,17496.0753747078,19303.9388456154,21214.6988984066,23241.5180957266
"N000163",3423.88059326665,3798.45704299683,4185.21428448576,4599.38656861998,5047.69749564102,5537.26816462515
"N000164",7582.81076426864,7901.37268161123,8236.63771863354,8598.77561500765,8991.17286728667,9408.3630717229
"N000165",11505.8019566154,13129.8454491908,14945.8358041754,17013.0641463674,19429.0876354027,22252.8332315371
"N000166",18956.3797609462,22100.1876625358,24912.927384099,27446.071198374,29807.3176522184,32059.9257912404
"N000167",14064.7296917951,14529.6333584339,15098.675608453,15550.482686241,16149.2633114169,16623.8045732018
"N000168",3533.25718471487,3763.06220647988,4045.31421573337,4404.79028886937,4811.04986662734,5263.55642040556
"N000169",9471.43749718022,10580.2302649868,11963.5558996628,13641.6500942802,15676.3824464387,18120.9662746954
"N000170",6998.95811187707,7662.09112291459,8392.31377514298,9205.75425730016,10122.6666930445,11150.789941899
"N000171",3968.37888026105,4265.86124238316,4630.0597505327,5073.31434703252,5605.01881580049,6237.21939730211
"N000172",2552.29205925327,2755.90728501893,2920.17219536633,3068.80731749823,3208.68329341671,3332.93930800091
"N000173",19237.2204437888,19864.1397955628,20410.9921023377,20927.4250865024,21406.0217282202,21862.3540435011
"N000174",3361.91406443627,3495.97399528225,3598.29446810807,3689.10754386602,3772.18304152679,3852.05974697988
"N000175",3828.06277758827,3956.59683186997,4057.19455869743,4138.86554253064,4214.06727393321,4279.72825239665
"N000176",1255.0290561222,1302.38228069968,1339.44074333971,1370.30657351213,1398.76983280632,1423.01686624285
"N000177",4300.61847665415,4565.92009909028,4821.39267817896,5075.38285202114,5331.27720830008,5596.18929215437
"N000178",1786.80747493044,1894.51418348588,1972.88044173893,2038.38164468232,2096.86831083293,2149.40138763279
"N000179",1999.35992415414,2055.70683482421,2113.210726963,2159.02720928305,2200.66758148443,2243.84305498593
"N000180",4504.45192690034,4900.25034232517,5289.10924967188,5688.03579540419,6103.11073649525,6533.75364918464
"N000181",9206.65247389017,9581.91308904646,9949.559169804,10254.0124515964,10525.4823733674,10776.6108365704
"N000182",2427.65968079566,2548.3949942684,2649.06131476365,2739.7209097219,2827.44304041875,2908.61541934934
"N000183",11775.3112686523,12135.1325834314,12480.1784470982,12824.3623374023,13169.3944765607,13520.6446873496
"N000184",2026.64565634864,2054.59143355005,2082.32442530454,2109.17677288831,2135.85034485019,2162.27777411848
"N000185",1341.1431695679,1349.00316441009,1361.50941520422,1376.54535552473,1392.31525390175,1409.01620994714
"N000186",2053.98148293749,2068.98332504005,2085.71459982546,2103.30160632231,2121.5505778574,2140.03406701426
"N000187",4598.2946197574,4623.22398795456,4649.50134224742,4676.91505913989,4705.0499805911,4734.40872665735
"N000188",2228.17003961465,2232.25765687109,2238.14787244962,2245.74718599409,2254.89890170577,2265.28384579513
"N000189",10089.7949786662,10248.2278753603,10413.3558112485,10585.6204884751,10766.4111096855,10954.7137357785
"N000190",11488.5001783476,13710.3896743641,15680.824135035,17537.7074409167,19407.06107704,21268.3702396841
"N000191",6745.13925717747,7842.7284652317,8619.46177878969,9282.3821502373,9856.09116549437,10379.2025364446
"N000192",6233.85514401813,6624.9263178438,6935.53388400273,7202.76163178618,7444.12204954059,7667.68266301305
"N000193",12649.516805659,13435.97163829,14055.9869269028,14616.0372249519,15127.9722219783,15564.1877900487
"N000194",10234.9430649623,10850.5989239497,11349.6101102504,11771.6054513906,12183.6181184372,12550.8485171046
"N000195",14006.9092393671,14794.3157127147,15420.2937095524,15970.235123742,16480.7870956276,16943.6451353609
"N000196",11845.9446980969,12551.1061886131,13128.5740302275,13624.6665897469,14091.5995367045,14524.6229001434
"N000197",3896.57077005912,4186.99547930673,4417.7522386896,4624.95424460542,4805.82145745229,4980.34872204604
"N000198",6239.42648062734,6200.53593974089,6201.07250813687,6201.73617802704,6207.08984419112,6199.59095239856
"N000199",8031.9885685927,8775.43429317435,9303.91357626295,9741.7134319754,10121.8706269049,10463.2969684504
"N000200",5650.88277871514,6166.18601669673,6573.67717031602,6971.25963304882,7314.8183705769,7640.03982854756
"N000201",5670.44041386926,6080.29570984971,6296.14667857322,6418.50161849827,6508.94559100122,6585.51131894927
"N000202",9166.25337464969,9542.58263240381,9763.76246984087,9819.91631647978,9870.20615975257,9900.77028279868
"N000203",8401.46484711764,10137.8381701676,11700.1200452997,13128.8013575043,14613.2024966686,16077.486425516
"N000204",12331.6147074177,13231.4265267034,13868.6348994866,14397.4525357764,14869.3123100173,15286.1160375391
"N000205",4095.57522589529,4463.40407543971,4764.79295776321,5022.68558845077,5282.80389710579,5513.23934443937
"N000206",5733.47721326293,6128.77251791099,6427.1517134071,6683.13019777242,6903.58355570943,7103.68696878833
"N000207",4058.15385836151,4554.81297843131,4829.65708945064,4991.04390804257,5120.59121348708,5222.83559555528
"N000208",10317.5549988483,10959.8697189974,11473.0896180117,11925.7320351088,12331.5568112477,12714.5227231096
"N000209",7903.24507955604,7903.24507955604,7903.24507955604,7903.24507955604,7903.24507955604,7901.06917707769
"N000210",3373.09185101527,3533.45078397615,3661.58072322512,3770.62994589189,3873.29950403193,3965.33895476188
"N000211",6113.52214271229,6598.29823284884,6978.28949531575,7314.55858998317,7611.68216889729,7880.8804745395
"N000212",5458.90306760622,5857.8122876944,6191.83261242282,6490.56623497464,6752.58621616811,6989.94619033592
"N000213",6745.45571655726,8084.48488231426,9297.09003406582,10421.2185325524,11559.2489524884,12707.8416258007
"N000214",3356.36638254528,3549.8821074158,3703.72586276551,3837.2552836813,3966.33050896826,4082.18484015292
"N000215",7407.89879622859,7785.67503851985,7800.57662161105,7799.4891655984,7800.74390480803,7799.74293843468
"N000216",6108.15107624625,6614.24987667909,7004.44145998762,7334.59322120532,7602.52803390117,7856.60131324281
"N000217",3749.48991786236,4066.07787157655,4066.33148785838,4100.7369922863,4127.32661687602,4145.56193088659
"N000218",11114.8648448837,12619.5846572444,13891.8446729754,15073.7561619576,16172.2784585943,17262.0241048071
"N000219",1678.04074781503,1796.23239221138,1889.21536474277,1969.03290837167,2039.55037402021,2106.55064127021
"N000220",8564.41571016888,8917.03861841328,9212.56792793024,9484.92768683325,9733.9606588948,9973.91181587993
"N000221",15338.8041975793,17422.2787070023,19199.3686639032,20856.2090982653,22450.5904135667,23957.0971785063
"N000222",1727.93508599392,1800.80753208306,1834.44886692924,1861.16514281492,1885.83371315882,1905.76619011057
"N000223",10948.5409573271,11877.6519348876,12442.2194487213,13016.6594847673,13593.9547709964,14128.0411760741
"N000224",7957.25837706231,8476.06283395912,8860.57359512077,9175.30565051583,9458.9824333347,9707.94179197884
"N000225",11612.4972542798,12522.1307689942,13191.866584374,13729.4176937717,14202.8092682324,14641.9756372597
"N000226",1177.53390761572,1203.68728935109,1300.23397396106,1300.49147577666,1299.48670592095,1301.18788326539
"N000227",11169.3311838526,11878.1046712557,12445.4270547279,12941.0926238974,13364.9869378475,13780.7896780504
"N000228",6151.26819674549,6735.81236316038,7036.16124831981,7379.79573204929,7655.12571474603,7936.19501822893
"N000229",9247.92783414738,12714.6726693623,16244.7357196102,20086.5984671503,24078.6827338432,28412.5323270598
"N000230",5902.78787939692,6271.72755286222,6523.87214413929,6754.16702380372,6962.46751359864,7134.08933413205
"N000231",1281.62119820156,1382.74579686847,1453.64558143351,1511.07885106862,1560.91506684728,1604.737079909
"N000232",5656.8876537423,6018.49372471265,6300.93508781253,6557.17114377335,6791.64149038724,7012.83523784129
"N000233",6636.25272169872,6769.75103632705,6922.2473424143,7006.01830030136,7036.90443166329,7067.1078541483
"N000234",10803.068366251,11000.3192676909,10965.1053740136,10979.3087030078,10983.9014253845,10971.0103463366
"N000235",9748.32737141723,10930.0649162016,11891.0389504171,12774.8429658821,13621.3945369979,14448.3903317295
"N000236",8569.50117709628,9099.96879892239,9508.19130946771,9847.64517599482,10133.0181989974,10408.0260265339
"N000237",8415.6878671515,8962.11734554583,9409.04282561146,9783.45250075624,10142.7628148106,10483.0952620759
"N000238",4662.48044438472,4989.76192977862,5176.71315730991,5315.45700170939,5440.04114334349,5542.76752192745
"N000239",4006.17558424759,4275.18070821328,4482.91387487577,4658.92207038999,4817.51762250656,4961.31881725868
"N000240",4342.20493152805,4888.52917310843,5475.15379889949,6114.17194746557,6822.52498386984,7608.49870057907
"N000241",8160.00781364806,10064.9887005953,12589.3686434312,15948.34334351,20469.1766768183,26582.3805036873
"N000242",2868.50864976206,2997.74680625385,3100.66489563331,3190.0750521424,3272.92045316375,3346.6132704462
"N000243",4564.00042488366,4818.86162179998,5016.22768584861,5195.62203543763,5347.89463716782,5499.47783530525
"N000244",20112.7838817544,21588.1744717069,23258.3386800389,25153.586847876,27288.9294974412,29703.209679889
"N000245",16833.1089922675,18332.052033721,19801.0250420946,21272.2378786472,22747.9495154174,24283.9726262783
"N000246",13794.5001957249,16431.3853612791,18834.7300952219,21158.5552114918,23488.3898156689,25759.6577196574
"N000247",10377.2257208395,11736.7601386695,13131.5773089556,14612.8535771804,16213.9107924457,17936.2313591857
"N000248",7165.54508934196,7817.86352272423,8591.45179750398,9502.49550158107,10557.0766083232,11793.8793533604
"N000249",19855.6612173161,24018.7709181866,29360.5916650261,36279.704333824,45212.9202754452,56926.1196222433
"N000250",4650.8019489133,4870.88267460487,5088.59349963142,5307.51130721549,5522.38371238403,5739.09238571763
"N000251",3599.42470875865,4117.13303678067,4784.74436572473,5615.31413213453,6645.28479696121,7911.2484582853
"N000252",12921.8534814243,13904.401306062,14995.2461850799,16207.5565020596,17554.4375986423,19061.1010552419
"N000253",12058.5022878901,12899.2785632924,13751.775275977,14630.4741663295,15548.796616006,16524.1972500124
"N000254",10413.5840084434,10493.1599587394,10554.2207329956,10605.6973468867,10651.0491541438,10691.855101867
"N000255",9734.96795820434,9844.71014416136,9882.29941895928,9958.61002944071,9979.71810221126,10041.3965891037
"N000256",10906.0672295722,11780.3500890645,11690.8538640582,11761.3124249794,11818.4381346277,11886.6968331192
"N000257",9397.46837847999,9801.68571734564,10299.2912938856,10272.9246968391,10271.7312958259,10271.9657964378
"N000258",4758.25697807021,4911.56633414803,5040.82402291395,5152.19964223239,5256.02484981156,5354.52365892742
"N000259",7678.29518672928,8054.42405858507,8437.54448089609,8839.88340123622,9267.72874381219,9731.95495666532
"N000260",12016.808660296,13523.157203941,15016.511955517,16564.9195572124,18198.1580325663,19905.7050256698
"N000261",3727.42282778744,3833.10966843103,3920.94701914946,4001.28403670975,4078.14359666234,4151.00434037111
"N000262",2279.79707416875,2399.11304351951,2491.15717614389,2572.78565946454,2643.11377422142,2708.62622135219
"N000263",7712.71787549962,7989.0716978052,8244.51805716262,8485.04267532203,8716.81010152795,8952.6817734759
"N000264",3341.36841163782,3472.86232385103,3572.92335644612,3659.56914285699,3740.0568472487,3816.71474556348
