"","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13"
"N095063",6059.66552014928,6186.75726370886,6189.84532653185,5992.67315680831,5991.45824759402,6164.67472042082,6169.33524080166,6301.74610576099,6301.80936475439,6411.25201647035,6411.01720586957,6586.44710859443,6588.46375320173
"N095064",13455.7735389413,12457.4777240939,13257.5573649121,14412.153268609,15152.827823909,13009.5995250485,13022.0074550767,13891.7891897472,14754.1401879634,12885.1808520421,13288.58162922,14648.8586838963,15791.9727861358
"N095065",18761.5138612409,17609.7557631826,18540.0260461291,19833.7088443212,20633.7033721988,18148.3141141266,18172.9821956297,19198.3656590552,20254.6563451148,18251.432025657,18674.8855939465,20248.9679300452,21581.2021245986
"N095066",7569.6522149248,7682.76702454733,7597.09788771481,7426.60121743907,7466.03057242911,7740.76967128777,7731.47418002274,7542.39439794269,7483.13589619952,7731.74118927641,7725.38765701923,7577.17364168142,7449.66480042228
"N095067",13411.9759293527,13442.1929886731,13471.6697692911,13500.4244070735,13528.4745935815,13555.8375869565,13582.5302225375,13608.5689232197,13633.9697095586,13658.7482096271,13682.9196686304,13706.4989582861,13729.5005859741
"N095068",6894.18393663341,6875.95529482945,6868.34343481455,6864.00737417338,6854.47962394363,6844.19483401924,6838.44428412153,6834.75010866629,6829.34166208796,6823.65734812526,6820.01338160257,6817.61743985446,6814.81468294727
"N095069",6904.64985612699,6890.2305553288,6875.81120110783,6861.39200875893,6846.97236788177,6832.55318341252,6818.13396736655,6803.71484691955,6789.2954615086,6774.87634561025,6760.45721107971,6746.03813304024,6731.61889850763
"N095070",2607.24189950825,2605.60053098439,2604.04023852557,2602.55701734664,2601.14706048041,2599.80674900638,2598.53264276213,2597.32147151342,2596.17012656058,2595.07565275943,2594.03524093632,2593.04622067789,2592.10605347692
"N095071",1923.00232160836,1916.07010002704,1909.1628683771,1902.28053657245,1895.42301485177,1888.5902137773,1881.78204423372,1874.99841742693,1868.23924488295,1861.50443844672,1854.79391028099,1848.10757286513,1841.44533899404
"N095072",1930.02521493367,1930.02521493367,1930.02521493367,1930.02521493367,1930.02521493367,1930.02521493367,1930.02521493367,1930.02521493367,1930.02521493367,1930.02521493367,1930.02521493367,1930.02521493367,1930.02521493367
"N095073",1930.00823509993,1930.00823509993,1930.00823509993,1930.00823509993,1930.00823509993,1930.00823509993,1930.00823509993,1930.00823509993,1930.00823509993,1930.00823509993,1930.00823509993,1930.00823509993,1930.00823509993
"N095074",5828.12421155448,5828.12421155448,5828.12421155448,5828.12421155448,5828.12421155448,5828.12421155448,5828.12421155448,5828.12421155448,5828.12421155448,5828.12421155448,5828.12421155448,5828.12421155448,5828.12421155448
"N095075",24131.9302172664,24204.5402509046,24277.3687592747,24350.4163997406,24423.6838316439,24497.1717163103,24570.8807170553,24644.8114991901,24718.9647300279,24793.3410788897,24867.9412171105,24942.765818045,25017.8155570743
"N095076",474.360193787096,534.857451437218,612.128300391185,759.886605113408,790.524846175503,16.5651181902555,198.757748172231,304.463545857476,260.074675606366,317.053224870207,435.299290982664,431.138878277553,502.023567230021
"N095077",3928.77717819311,3928.77717819311,3928.77717819311,3928.77717819311,3928.77717819311,3928.77717819311,3928.77717819311,3928.77717819311,3928.77717819311,3928.77717819311,3928.77717819311,3928.77717819311,3928.77717819311
"N095078",3831.8424223489,3831.8424223489,3831.8424223489,3831.8424223489,3831.8424223489,3831.8424223489,3831.8424223489,3831.8424223489,3831.8424223489,3831.8424223489,3831.8424223489,3831.8424223489,3831.8424223489
"N095079",1551.50904520001,1535.28469533421,1542.40073503601,1613.16578256712,1623.67666885999,1635.5650266037,1626.64446978206,1624.33382213301,1644.89883911286,1654.37368752989,1665.24776194567,1701.59935131261,1740.48195685821
"N095080",1514.44617144269,1528.98300048253,1624.2093396659,1647.5910714121,1669.72299910731,1669.03125031488,1658.88363826095,1690.62106964512,1695.46574822228,1704.30448876167,1738.61459791875,1781.5937869274,1838.08740249832
"N095081",24598.2063269968,24683.2029891377,24768.493348814,24854.0784208685,24939.9592236505,25026.1367790283,25112.612112401,25199.3862527109,25286.4602324559,25373.8350877012,25461.5118580923,25549.4915868672,25637.7753208684
"N095082",4417.25774583826,4416.02379061494,4415.04550171361,4414.26986676559,4413.6548804285,4413.16725344996,4412.78060060292,4412.47400663665,4412.23089090828,4412.03810818594,4411.88523630765,4411.7640117478,4411.66788230551
"N095083",5974.07749546185,5973.97002068651,5973.9342429755,5973.92233278884,5973.91836795865,5973.91704809029,5973.91660871429,5973.9164624482,5973.91641375724,5973.91639754782,5973.91639215226,5973.91639035595,5973.91638975816
"N095084",5970.14514999075,5958.38267705585,5979.75706424867,6004.36104809412,6014.87784580047,6027.36809716929,6025.94499151334,6050.33534029006,6050.84068171989,6070.22285009564,6079.71441792615,6112.65904067609,6109.72575323117
"N095085",17243.2930258546,17228.1964872183,17215.3237478812,17204.3459242112,17194.9831266847,17186.9970651581,17180.1847961022,17174.3734285481,17169.4156367053,17165.1858526518,17161.5770333372,17158.4979133021,17155.8706687061
"N095086",17260.9617840199,17252.2998426366,17244.8197994353,17238.35997654,17232.7809170037,17227.9623044113,17223.8003161547,17220.2053476584,17217.1000543209,17214.4176658836,17212.1005346262,17210.0988844338,17208.3697325509
"N095087",1094.7637244495,1090.83802017684,1090.58429006835,1084.40915607597,1095.43654000124,1086.79622625888,1090.96873423425,1093.807823086,1093.8136212822,1098.32734798204,1100.09864009406,1104.38562737856,1099.98899209305
"N095088",12018.6645745884,12032.2500424495,12045.8508668367,12059.4670651085,12073.0986546431,12086.7456528381,12100.4080771109,12114.0859448987,12127.7792736583,12141.4880808661,12155.2123840184,12168.9522006313,12182.7075482407
"N095089",1211.94387035225,1211.94387035225,1211.94387035225,1211.94387035225,1211.94387035225,1211.94387035225,1211.94387035225,1211.94387035225,1211.94387035225,1211.94387035225,1211.94387035225,1211.94387035225,1211.94387035225
"N095090",1844.63091658884,1846.34899301424,1848.06706943964,1849.78514586503,1851.50322229043,1853.22129871583,1854.93937514123,1856.65745156662,1858.37552799202,1860.09360441742,1861.81168084282,1863.52975726821,1865.24783369361
"N095091",19830.7768573266,19841.052049422,19851.3272415174,19861.6024336128,19871.8776257082,19882.1528178036,19892.428009899,19902.7032019944,19912.9783940898,19923.2535861852,19933.5287782806,19943.8039703759,19954.0791624713
"N095092",23539.5250053524,23610.6330392864,23831.607234597,24074.033253099,24220.7285438044,24573.1748623681,24519.260687218,24886.164931555,24694.8134725111,24555.9585705517,24198.5372728708,24202.0127939884,23589.0383722784
"N095093",1738.78890200866,1735.45185263948,1730.53009320539,1734.00079774276,1743.62448386157,1748.12662196902,1742.82396538375,1741.01443744555,1748.69560416575,1754.09829183321,1748.40248003628,1745.39208185177,1752.53031261245
"N095094",1815.75304671384,1820.20089901296,1821.64637766357,1822.31430290593,1822.95829903462,1823.42013481544,1825.86918714277,1827.74654669993,1826.25445584599,1828.09189427752,1835.06051038965,1843.77590590284,1839.35110914022
"N095095",1646.76296503784,1647.0981356282,1646.60869588476,1646.48812340369,1645.84742849366,1645.23147867942,1645.06927732459,1645.94567878511,1646.25658722818,1648.27486130854,1650.63672196086,1653.78257041175,1650.67427729941
"N095096",11380.1753841337,11432.5948824701,11356.3034918065,11405.5446260755,11497.0300864321,11524.9435242737,11488.5428382125,11522.80545449,11562.9096774862,11611.4228206075,11622.898302235,11624.489533756,11645.461404286
"N095097",525.339987908493,528.372252092285,508.520535697457,512.49243434354,507.943147808438,510.3932594848,490.692063317443,489.192145887157,482.527502215049,494.741286621126,488.485731588559,472.700116372388,462.034575068041
"N095098",618.1716083899,618.1716083899,618.1716083899,618.1716083899,618.1716083899,618.1716083899,618.1716083899,618.1716083899,618.1716083899,618.1716083899,618.1716083899,618.1716083899,618.1716083899
"N095099",15059.7976526311,15019.1686219148,14979.1327797324,14939.6801994022,14900.8011509326,14862.4860964049,14824.7256854807,14787.5107510319,14750.8323048876,14714.6815336963,14679.049794898,14643.9286128043,14609.3096747825
"N095100",11396.4590560854,11397.5358438206,11398.6126315559,11399.6894192911,11400.7662070264,11401.8429947616,11402.9197824969,11403.9965702321,11405.0733579673,11406.1501457026,11407.2269334378,11408.3037211731,11409.3805089083
"N095101",9795.66671817981,9836.90313482008,9782.43442174114,9836.64990380721,9913.84818374497,9947.48784167258,9902.28763992504,9908.66580925116,9936.4047558249,9979.13338771457,10004.1281001825,9997.47645014748,10000.7956917502
"N095102",15919.2743758561,15938.9329683187,15958.6158370296,15978.3230119673,15998.0545231475,16017.8104006228,16037.5906744829,16057.3953748547,16077.2245319025,16097.0781758274,16116.9563368683,16136.859045301,16156.7863314391
"N095103",4067.14192046975,4067.14192046975,4067.14192046975,4067.14192046975,4067.14192046975,4067.14192046975,4067.14192046975,4067.14192046975,4067.14192046975,4067.14192046975,4067.14192046975,4067.14192046975,4067.14192046975
"N095104",1026.72442752186,1023.42632514989,1020.13868808864,1016.86348002308,1013.59995459202,1010.34641128007,1007.10078398834,1003.86555192571,1000.6439345849,997.432557175583,994.228423505911,991.033965230905,987.853796187373
"N095105",9167.60881203359,9170.67762406718,9173.74643610077,9176.81524813436,9179.88406016795,9182.95287220155,9186.02168423514,9189.09049626873,9192.15930830232,9195.22812033591,9198.2969323695,9201.36574440309,9204.43455643668
"N095106",2154.07181063844,2151.09460972012,2145.81543336696,2149.39433765992,2158.44941280559,2162.14100904273,2156.41459760716,2155.38897947427,2162.80103987718,2167.66427867463,2161.44129587421,2158.3855586494,2164.96266326177
"N095107",23905.4852585764,23937.204960706,23968.7162098611,24000.0200500122,24031.1175251154,24062.0096790094,24092.6975553143,24123.1821973328,24153.4646479523,24183.5459495502,24213.4271438993,24243.1092720766,24272.5933743726
"N095108",16026.4478384746,16041.9242885346,16057.4112901029,16072.9088461334,16088.4169595772,16103.9356333831,16119.4648704971,16135.0046738627,16150.5550464209,16166.1159911099,16181.6875108657,16197.2696086213,16212.8622873076
"N095109",14267.3775289585,14280.8234516658,14294.2781993686,14307.7417742365,14321.2141784367,14334.6954141338,14348.1854834906,14361.6843886672,14375.1921318217,14388.7087151096,14402.2341406843,14415.7684106969,14429.3115272961
"N095110",7316.82365916031,7305.70716238985,7289.87728508728,7323.54526168164,7348.36293094811,7339.14747382762,7378.26482302382,7368.84425954882,7391.26427248881,7418.12690794788,7413.58377394721,7450.2046722734,7404.71690223081
"N095111",1069.9054976474,1068.01431313549,1066.60768927963,1058.56410391202,1068.15455121492,1065.77846473859,1068.87721533561,1067.14136858787,1068.65237902211,1069.80302379701,1071.74219062343,1075.08692905722,1064.24139075075
"N095112",9516.04342039668,9531.35868620013,9546.67395200357,9561.98921780702,9577.30448361047,9592.61974941391,9607.93501521736,9623.25028102081,9638.56554682425,9653.8808126277,9669.19607843115,9684.5113442346,9699.82661003804
"N095113",738.275277305888,741.495650279704,730.471226440817,732.952468664729,735.23327379822,735.772974735038,718.848443492776,722.044963319218,728.630934046872,734.597383126182,730.086250241442,731.915445826988,734.604027535032
"N095114",10557.3291126406,10557.3291126406,10557.3291126406,10557.3291126406,10557.3291126406,10557.3291126406,10557.3291126406,10557.3291126406,10557.3291126406,10557.3291126406,10557.3291126406,10557.3291126406,10557.3291126406
"N095115",11303.6791625729,11303.6791625729,11303.6791625729,11303.6791625729,11303.6791625729,11303.6791625729,11303.6791625729,11303.6791625729,11303.6791625729,11303.6791625729,11303.6791625729,11303.6791625729,11303.6791625729
"N095116",14863.5106127368,14884.3621922365,14936.4751514323,15143.159443835,15247.6567300402,15462.2116472238,15397.9415727203,15727.2524099816,15590.2828329989,15623.2891432371,15317.7242026634,15377.3579245906,14965.6459110293
"N095117",7065.51,7065.51,7065.51,7065.51,7065.51,7065.51,7065.51,7065.51,7065.51,7065.51,7065.51,7065.51,7065.51
"N095118",1737.09681333799,1731.84313278111,1724.94926194851,1726.43312081816,1734.8768051377,1737.41303850736,1730.23534332358,1727.03608888463,1733.86200483183,1738.01483841184,1730.20002096852,1725.54074716266,1731.63749195167
"N095119",1024.91930200823,1024.93652252353,1024.93427155752,1024.93698352035,1024.93721918589,1024.93578752244,1024.94418004324,1024.94508915737,1024.93660087514,1024.93306802005,1024.9562270025,1024.98448349029,1024.96331355314
"N095120",879.771845323947,880.124039440138,879.440840095144,879.691226693846,879.400994173317,878.941542618844,878.978291717142,879.281529811784,879.323356386774,880.044266368487,881.387337954331,883.060515137686,881.247197160919
"N095121",10410.1799045675,10471.4429553616,10403.7837005079,10464.2294435689,10557.2356377722,10592.7854325236,10551.0788625091,10596.7344511897,10642.526756229,10690.5647924471,10701.552158859,10691.7697288645,10726.9118791678
"N095122",366.568179063829,366.568179063829,366.568179063829,366.568179063829,366.568179063829,366.568179063829,366.568179063829,366.568179063829,366.568179063829,366.568179063829,366.568179063829,366.568179063829,366.568179063829
"N095123",476.352266480137,476.352266480137,476.352266480137,476.352266480137,476.352266480137,476.352266480137,476.352266480137,476.352266480137,476.352266480137,476.352266480137,476.352266480137,476.352266480137,476.352266480137
"N095124",8471.18018319458,8463.86004283,8456.61773770969,8449.45244020945,8442.36333150525,8435.34960147962,8428.41044862909,8421.54507997262,8414.75271096093,8408.03256538688,8401.38387529677,8394.80588090258,8388.2978304951
"N095125",10854.8927495285,10856.7393183364,10858.5858871443,10860.4324559521,10862.27902476,10864.1255935679,10865.9721623758,10867.8187311837,10869.6652999916,10871.5118687995,10873.3584376073,10875.2050064152,10877.0515752231
"N095126",9512.55523686468,9544.22328509057,9490.69061049603,9540.0147120636,9611.97316087211,9638.68175621868,9595.6979413241,9612.78065167066,9646.24942911308,9687.21456551893,9709.00369391702,9695.02112610833,9704.30406787504
"N095127",11043.1627313256,11055.0400913647,11066.9302259761,11078.8331488995,11090.7488738892,11102.6774147142,11114.6187851586,11126.5729990211,11138.5400701153,11150.5200122697,11162.5128393275,11174.5185651472,11186.5372036016
"N095128",3563.22039304293,3563.22039304293,3563.22039304293,3563.22039304293,3563.22039304293,3563.22039304293,3563.22039304293,3563.22039304293,3563.22039304293,3563.22039304293,3563.22039304293,3563.22039304293,3563.22039304293
"N095129",1007.63686999252,1004.27810617541,1000.93041870135,997.595142715998,994.271897421528,990.959351977107,987.655899488961,984.363949596262,981.084581551145,977.816259521889,974.55682402627,971.307673577667,968.072372415231
"N095130",8169.74069171812,8173.58138343623,8177.42207515435,8181.26276687247,8185.10345859059,8188.9441503087,8192.78484202682,8196.62553374494,8200.46622546306,8204.30691718118,8208.14760889929,8211.98830061741,8215.82899233553
"N095131",2153.11437740612,2150.10895838786,2144.84513257951,2148.37321766537,2157.54849573316,2161.18794733652,2155.51282540127,2154.4150080679,2161.81444534155,2166.63657036246,2160.38263600896,2157.32511491477,2163.86460463042
